bundesland,jahr,ferien_typ,start,ende
BB,2023,Winterferien,2023-01-30,2023-02-03
BB,2023,Osterferien,2023-04-03,2023-04-14
BB,2023,Variabler Ferientag,2023-05-19,2023-05-19
BB,2023,Sommerferien,2023-07-13,2023-08-26
BB,2023,Variabler Ferientag,2023-10-02,2023-10-02
BB,2023,Herbstferien,2023-10-23,2023-11-04
BB,2023,Weihnachtsferien,2023-12-23,2024-01-05
BB,2024,Weihnachtsferien,2023-12-23,2024-01-05
BB,2024,Winterferien,2024-02-05,2024-02-09
BB,2024,Osterferien,2024-03-25,2024-04-05
BB,2024,Variabler Ferientag,2024-05-10,2024-05-10
BB,2024,Sommerferien,2024-07-18,2024-08-31
BB,2024,Variabler Ferientag,2024-10-04,2024-10-04
BB,2024,Herbstferien,2024-10-21,2024-11-02
BB,2024,Weihnachtsferien,2024-12-23,2024-12-31
BB,2025,Winterferien,2025-02-03,2025-02-08
BB,2025,Osterferien,2025-04-14,2025-04-25
BB,2025,Variabler Ferientag,2025-05-02,2025-05-02
BB,2025,Variabler Ferientag,2025-05-30,2025-05-30
BB,2025,Pfingstferien,2025-06-10,2025-06-10
BB,2025,Sommerferien,2025-07-24,2025-09-06
BB,2025,Herbstferien,2025-10-20,2025-11-01
BB,2025,Weihnachtsferien,2025-12-22,2026-01-02
HB,2019,Weihnachtsferien,2019-12-21,2020-01-06
HB,2020,Weihnachtsferien,2019-12-21,2020-01-06
HB,2020,Sommerferien,2020-07-16,2020-08-26
HB,2020,Herbstferien,2020-10-12,2020-10-24
HB,2020,Weihnachtsferien,2020-12-23,2021-01-08
HB,2021,Weihnachtsferien,2020-12-23,2021-01-08
HB,2021,Halbjahresferien,2021-02-01,2021-02-02
HB,2021,Osterferien,2021-03-27,2021-04-10
HB,2021,Tag nach Himmelfahrt,2021-05-14,2021-05-14
HB,2021,Pfingstferien,2021-05-25,2021-05-25
HB,2021,Sommerferien,2021-07-22,2021-09-01
HB,2021,Herbstferien,2021-10-18,2021-10-30
HB,2021,Weihnachtsferien,2021-12-23,2022-01-08
HB,2022,Weihnachtsferien,2021-12-23,2022-01-08
HB,2022,Halbjahresferien,2022-01-31,2022-02-01
HB,2022,Osterferien,2022-04-04,2022-04-19
HB,2022,Tag nach Himmelfahrt,2022-05-27,2022-05-27
HB,2022,Pfingstferien,2022-06-07,2022-06-07
HB,2022,Sommerferien,2022-07-14,2022-08-24
HB,2022,Herbstferien,2022-10-17,2022-10-29
HB,2022,Weihnachtsferien,2022-12-23,2023-01-06
HB,2023,Weihnachtsferien,2022-12-23,2023-01-06
HB,2023,Halbjahresferien,2023-01-30,2023-01-31
HB,2023,Osterferien,2023-03-27,2023-04-11
HB,2023,Tag nach Himmelfahrt,2023-05-19,2023-05-19
HB,2023,Pfingstferien,2023-05-30,2023-05-30
HB,2023,Sommerferien,2023-07-06,2023-08-16
HB,2023,Tag vor dem 3. Oktober,2023-10-02,2023-10-02
HB,2023,Herbstferien,2023-10-16,2023-10-30
HB,2023,Weihnachtsferien,2023-12-23,2024-01-05
HB,2024,Weihnachtsferien,2023-12-23,2024-01-05
HB,2024,Halbjahresferien,2024-02-01,2024-02-02
HB,2024,Osterferien,2024-03-18,2024-03-28
HB,2024,Tag nach Himmelfahrt,2024-05-10,2024-05-10
HB,2024,Pfingstferien,2024-05-21,2024-05-21
HB,2024,Sommerferien,2024-06-24,2024-08-02
HB,2024,Herbstferien,2024-10-04,2024-10-19
HB,2024,Tag nach dem Reformationstag,2024-11-01,2024-11-01
HB,2024,Weihnachtsferien,2024-12-23,2025-01-04
HB,2025,Weihnachtsferien,2024-12-23,2025-01-04
HB,2025,Halbjahresferien,2025-02-03,2025-02-04
HB,2025,Osterferien,2025-04-07,2025-04-19
HB,2025,Kirchentag und Tag nach dem 1. Mai,2025-04-30,2025-05-02
HB,2025,Tag nach Himmelfahrt,2025-05-30,2025-05-30
HB,2025,Pfingstferien,2025-06-10,2025-06-10
HB,2025,Sommerferien,2025-07-03,2025-08-13
HB,2025,Herbstferien,2025-10-13,2025-10-25
HB,2025,Weihnachtsferien,2025-12-22,2026-01-05
HH,2019,Weihnachtsferien,2019-12-20,2020-01-03
HH,2020,Weihnachtsferien,2019-12-20,2020-01-03
HH,2020,Halbjahrespause,2020-01-31,2020-01-31
HH,2020,Frühjahrsferien,2020-03-02,2020-03-13
HH,2020,Pfingstferien,2020-05-18,2020-05-22
HH,2020,Sommerferien,2020-06-25,2020-08-05
HH,2020,Herbstferien,2020-10-05,2020-10-16
HH,2020,Weihnachtsferien,2020-12-21,2021-01-04
HH,2021,Weihnachtsferien,2020-12-21,2021-01-04
HH,2021,Halbjahrespause,2021-01-29,2021-01-29
HH,2021,Frühjahrsferien,2021-03-01,2021-03-12
HH,2021,Pfingstferien,2021-05-10,2021-05-14
HH,2021,Sommerferien,2021-06-24,2021-08-04
HH,2021,Herbstferien,2021-10-04,2021-10-15
HH,2021,Weihnachtsferien,2021-12-23,2022-01-04
HH,2022,Weihnachtsferien,2021-12-23,2022-01-04
HH,2022,Halbjahrespause,2022-01-28,2022-01-28
HH,2022,Frühjahrsferien,2022-03-07,2022-03-18
HH,2022,Pfingstferien,2022-05-23,2022-05-27
HH,2022,Sommerferien,2022-07-07,2022-08-17
HH,2022,Herbstferien,2022-10-10,2022-10-21
HH,2022,Weihnachtsferien,2022-12-23,2023-01-06
HH,2023,Weihnachtsferien,2022-12-23,2023-01-06
HH,2023,Halbjahrespause,2023-01-27,2023-01-27
HH,2023,Frühjahrsferien,2023-03-06,2023-03-17
HH,2023,Pfingstferien,2023-05-15,2023-05-19
HH,2023,Sommerferien,2023-07-13,2023-08-23
HH,2023,Brückentag,2023-10-02,2023-10-02
