bundesland,jahr,ferien_typ,start,ende
HB,2021,herbstferien bremen 2021,2021-10-18,2021-10-30
HB,2021,weihnachtsferien bremen 2021,2021-12-23,2022-01-08
HB,2022,winterferien bremen 2022,2022-01-31,2022-02-01
HB,2022,osterferien bremen 2022,2022-04-04,2022-04-19
HB,2022,pfingstferien bremen 2022 (beweglicher ferientag),2022-05-27,2022-05-27
HB,2022,sommerferien bremen 2022,2022-07-14,2022-08-24
HB,2022,herbstferien bremen 2022,2022-10-17,2022-10-29
HB,2022,weihnachtsferien bremen 2022,2022-12-23,2023-01-06
HB,2023,winterferien bremen 2023,2023-01-30,2023-01-31
HB,2023,osterferien bremen 2023,2023-03-27,2023-04-11
HB,2023,pfingstferien bremen 2023 (beweglicher ferientag),2023-05-19,2023-05-19
HB,2023,sommerferien bremen 2023,2023-07-06,2023-08-16
HB,2023,herbstferien bremen 2023 (beweglicher ferientag),2023-10-02,2023-10-02
HB,2023,herbstferien bremen 2023,2023-10-16,2023-10-30
HB,2023,weihnachtsferien bremen 2023,2023-12-23,2024-01-05
HB,2024,winterferien bremen 2024,2024-02-01,2024-02-02
HB,2024,osterferien bremen 2024,2024-03-18,2024-03-28
HB,2024,pfingstferien bremen 2024 (beweglicher ferientag),2024-05-10,2024-05-10
HB,2024,sommerferien bremen 2024,2024-06-24,2024-08-02
HB,2024,herbstferien bremen 2024,2024-10-04,2024-10-19
HB,2024,herbstferien bremen 2024 (beweglicher ferientag),2024-11-01,2024-11-01
HB,2024,weihnachtsferien bremen 2024,2024-12-23,2025-01-04
HB,2025,winterferien bremen 2025,2025-02-03,2025-02-04
HB,2025,osterferien bremen 2025,2025-04-07,2025-04-19
HB,2025,pfingstferien bremen 2025,2025-04-30,2025-04-30
HB,2025,pfingstferien bremen 2025 (beweglicher ferientag),2025-05-02,2025-05-02
HB,2025,sommerferien bremen 2025,2025-07-03,2025-08-13
HB,2025,herbstferien bremen 2025,2025-10-13,2025-10-25
HB,2025,weihnachtsferien bremen 2025,2025-12-22,2026-01-05
HH,2019,osterferien hamburg 2019 ,2019-03-04,2019-03-15
HH,2019,pfingstferien hamburg 2019 ,2019-05-13,2019-05-17
HH,2019,sommerferien hamburg 2019 ,2019-06-27,2019-08-07
HH,2019,herbstferien hamburg 2019 ,2019-10-04,2019-10-18
HH,2019,weihnachtsferien hamburg 2019 ,2019-12-20,2020-01-03
HH,2020,winterferien hamburg 2020 (beweglicher ferientag),2020-01-31,2020-01-31
HH,2020,osterferien hamburg 2020 ,2020-03-02,2020-03-13
HH,2020,pfingstferien hamburg 2020 ,2020-05-18,2020-05-22
HH,2020,sommerferien hamburg 2020 ,2020-06-25,2020-08-05
